"Timestamp","Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [1 (наиболее)]","Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [2]","Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [3]","Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [4]","Расположите эти библиотеки в порядке от наиболее предпочтительных к наименее предпочтительным: [5 (наименее предпочительно)]","Пожалуйста, объясните, почему вы выбрали именно такой ответ. На каких метриках (перечислите 3-5) вы основывались?","Выберите не менее 2 вариантов:","Ваше полное имя:","Ваша рабочая должность или компания:","Ваш опыт работы:","Сколько багов вы зарепортили за последний год?","Куда направить результаты наших исследований? (Телеграм, почта и т.д.)"
"2023/11/19 8:15:29 PM GMT+3","SWXMLHash","libexpat","Fuzi","quick-xml","xgen","Первое на что стоит смотреть это колличество звезд. Показывает насколько интересна библиотека другим разработчикам. Так же колличество закрытых багов. А вот колличество строк не всегда хороший вариант, так как сложность поддержки. И при смене логики может быть проблемой.","Прочитать руководство пользователя, возможно, что-то делаете не так;Лучше объяснить, как баг воспроизвести;Укажите его приоритет и степень серьезности","","iOS разработчик X5 Group","Более 5 лет","10-25",""
"2023/11/19 8:20:21 PM GMT+3","libexpat","SWXMLHash","xgen","Fuzi","quick-xml","На количестве закрытых багов, дате последнего релиза и количестве контрибуторов. Чем больше исправленных багов и чем меньше дней назад состоялся релиз - тем лучше качество. Отсутствие исправленных багов говорит о том, что на качество библиотеки положен болт. Софта без ошибок не бывает.","Избавиться от лишнего 3-минутного видеоролика;Лучше объяснить, как баг воспроизвести","","МТС","","",""
"2023/11/19 9:44:55 PM GMT+3","xgen","Fuzi","libexpat","quick-xml","SWXMLHash","Количество звёзд, форумов, контрибуторов - активность комьюнити
Количество строк кода - тяжесть библиотеки","Укажите его приоритет и степень серьезности;Лучше объяснить, как баг воспроизвести","","","","",""
"2023/11/20 1:28:47 PM GMT+3","libexpat","quick-xml","SWXMLHash","xgen","Fuzi","Основные параметры - количество котрибутеров, дата последнего комита, количество звезд,  ","Избавиться от лишнего 3-минутного видеоролика;Укажите его приоритет и степень серьезности","","Mobile Head ","> 10 лет","",""
"2023/11/20 3:17:10 PM GMT+3","libexpat","quick-xml","SWXMLHash","Fuzi","xgen","Так как мы ищем более качественный продукт, для нас важно, чтобы его поддерживала команда разработчиков. Последние две либы имеют много контрибьюторов, а разработка продолжается, судя по последним коммитам. При этом проекты активно форкают, что вероятно понадобится и нам. 
Важен так же день релиза, более молодой проект вероятно будет проще поддерживать, если мы хотим вести работу над форком. xgen и Fuzi смущают малым количеством баг репортов","Укажите его приоритет и степень серьезности;Прочитать руководство пользователя, возможно, что-то делаете не так;Лучше объяснить, как баг воспроизвести","","Разработчик в Яндексе ","1,5 года","Где-то до 100 - это часть моей работы)",""
"2023/11/20 4:22:06 PM GMT+3","libexpat","quick-xml","SWXMLHash","Fuzi","xgen","Популярность, кол-во контрибуторов и форков, свежесть коммитов и язык","Укажите его приоритет и степень серьезности;Лучше объяснить, как баг воспроизвести;Прочитать руководство пользователя, возможно, что-то делаете не так","","Руководитель службы","Более 10 лет","",""
"2023/11/24 1:45:48 PM GMT+3","libexpat","quick-xml","xgen","SWXMLHash","Fuzi","Язык программирования (как будет на андроиде свифт работать?), Last commit, Contributors, Number of closed PRs","Избавиться от лишнего 3-минутного видеоролика;Укажите его приоритет и степень серьезности;Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему","","Яндекс.Технологии","0","2",""
"2023/11/28 2:23:46 PM GMT+3","SWXMLHash","xgen","Fuzi","libexpat","quick-xml","Stars, Programming language, Contributors","Лучше объяснить, как баг воспроизвести;Избавиться от лишнего 3-минутного видеоролика","","intern flutter developer","1 month","1",""
"2023/11/29 7:37:27 PM GMT+3","quick-xml","libexpat","xgen","SWXMLHash","Fuzi","Наиболее важным для меня была активность репозитория (видно, что quick-xml и libexpat активно поддерживаются, последний коммит был недавно, и достаточно много закрытых баг репортов). Но quick-xml имеет преимущество над libexpat, т.к. во-первых она написана на более безопасном языке, во-вторых кодоая база libexpat очень сильно раздута. ","Избавиться от лишнего 3-минутного видеоролика;Прочитать руководство пользователя, возможно, что-то делаете не так;Лучше объяснить, как баг воспроизвести","","Embedded Developer","2 года","В opensource 0 xD; По работе 2-5, наверное, наберется",""
"2023/12/01 11:43:44 PM GMT+3","quick-xml","libexpat","SWXMLHash","xgen","Fuzi","Язык разработки, дата последнего коммита, дата релиза, количество контрибьюторов и количество закрытых багов. Сначала нужно определить требуемый язык. После мне важно, чтобы проект был активно поддерживаемым на момент его выбора.","Прочитать руководство пользователя, возможно, что-то делаете не так;Укажите его приоритет и степень серьезности;Избавиться от лишнего 3-минутного видеоролика;Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему;Лучше объяснить, как баг воспроизвести","","","","",""
"2023/12/03 1:58:29 PM GMT+3","quick-xml","SWXMLHash","Fuzi","libexpat","xgen","Достаточно много звёзд
Репозиторий поддерживается, актуален
Баги закрываются, пулл реквесты принимаются
Не слишком много строк кода (652к строк явно смущают, вряд ли там все можно протестировать) ","Укажите его приоритет и степень серьезности;Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему","","","","",""
"2023/12/06 7:14:15 PM GMT+3","quick-xml","SWXMLHash","Fuzi","xgen","libexpat","количество контрибьютеров, закрытые баг репорты, дата релиза","Лучше объяснить, как баг воспроизвести","","Flutter-разработчик","4 года","",""
"2023/12/06 7:19:26 PM GMT+3","SWXMLHash","Fuzi","quick-xml","xgen","libexpat","SWXMLHash часто используется в сообществе Swift для работы с XML данными и имеет хорошую документацию. Fuzi также является популярным выбором. quick-xml также может быть удобным, но при выборе между quick-xml и Fuzi, предпочтение может зависеть от конкретных требований проекта.

xgen и libexpat могут быть менее предпочтительными, особенно если их поддержка ограничена или если они не соответствуют требованиям проекта.","Укажите его приоритет и степень серьезности;Лучше объяснить, как баг воспроизвести","","","0","0",""
"2023/12/06 7:44:43 PM GMT+3","quick-xml","libexpat","xgen","Fuzi","SWXMLHash","Поддержка кода, низкоуровневый код (личный предпочтения), форкают чаще(можно найти нужные доработки)","Лучше объяснить, как баг воспроизвести;Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему;Избавиться от лишнего 3-минутного видеоролика","","Разработчик","Более 4 лет","Не считаю",""
"2023/12/06 9:19:25 PM GMT+3","libexpat","SWXMLHash","quick-xml","Fuzi","xgen","Если предполагается, что прочие условие равны, то расположил бы в указанном порядке предпочтения. Сочетание факторов: Language, Closed bug reports, Stars, Release date, Contributors. Дальше скорее опосредованное влияние, непрямое: Lines of code, last commit, pull requests. Forks кажется не повлиял бы никак на мой выбор.","Укажите его приоритет и степень серьезности;Прочитать руководство пользователя, возможно, что-то делаете не так","","Фрилансер","БОльшой )","Навскидку, 3-5. Но не все репортю, потому что бывают известные баги",""
"2023/12/07 7:12:58 AM GMT+3","Fuzi","SWXMLHash","xgen","quick-xml","libexpat","Fuzi - это библиотека разбора XML для языка программирования Swift. Fuzi обладает простым и интуитивно понятным API, обеспечивает высокую производительность и надежность. Она имеет хорошую поддержку, активно развивается и обновляется. (Closed bug reports, Stars, Release date (days ago))","Вместо этого отправить сообщение в чат проекта, чтобы быстрее решить проблему;Избавиться от лишнего 3-минутного видеоролика","","","","",""
"2023/12/07 8:25:59 AM GMT+3","SWXMLHash","Fuzi","xgen","quick-xml","libexpat","Количество кода, сколько форков, коммиты, закрытых ишью","Укажите его приоритет и степень серьезности;Избавиться от лишнего 3-минутного видеоролика","","","","",""
"2023/12/07 10:56:48 PM GMT+3","libexpat","quick-xml","Fuzi","SWXMLHash","xgen","Language, Lines of code, Last commit","Не сообщайть, так как это примитивная ошибка.;Прочитать руководство пользователя, возможно, что-то делаете не так","","","","",""
"2023/12/07 11:13:28 PM GMT+3","xgen","SWXMLHash","quick-xml","Fuzi","libexpat","У них более лучшие параметры","Укажите его приоритет и степень серьезности;Прочитать руководство пользователя, возможно, что-то делаете не так","","","","",""
"2023/12/08 7:45:50 PM GMT+3","libexpat","quick-xml","SWXMLHash","xgen","Fuzi","звезды, коммиты, закрытые проблемы, участники","Лучше объяснить, как баг воспроизвести;Прочитать руководство пользователя, возможно, что-то делаете не так","","","","",""
"2023/12/08 8:05:06 PM GMT+3","SWXMLHash","xgen","quick-xml","Fuzi","libexpat","Они предоставляют разработчикам возможность парсинга и обработки XML-данных, что может быть полезно при создании приложений для работы с книгами и другими текстовыми данными.","Укажите его приоритет и степень серьезности;Избавиться от лишнего 3-минутного видеоролика","","Инженер отдела эксплуатации","имею","не репортил",""
"2023/12/08 9:19:27 PM GMT+3","xgen","libexpat","Fuzi","SWXMLHash","quick-xml","Я основывался на метриках closed bug reports, forks и closed issues","Укажите его приоритет и степень серьезности;Избавиться от лишнего 3-минутного видеоролика","","","","52",""
